pair,key,layer_idx,rel_depth,sub_module,shape,fro_delta,sigma_1_delta,stable_rank_delta,effective_rank_top64_delta,top_align_with_W_LLM
qwen25,model.layers.1.self_attn.o_proj.weight,1,0.037037037037037035,self_attn.o_proj,,31.648284912109375,2.9048948287963867,118.69694256172627,54.71196083027498,0.043408602476119995
qwen25,model.layers.1.self_attn.q_proj.weight,1,0.037037037037037035,self_attn.q_proj,,37.52495193481445,6.157792568206787,37.13557723596392,49.62515497191282,0.8030009865760803
qwen25,model.layers.1.self_attn.v_proj.weight,1,0.037037037037037035,self_attn.v_proj,,9.966914176940918,0.9404562711715698,112.31667126841424,59.95172858363586,0.059628862887620926
qwen25,model.layers.10.mlp.down_proj.weight,10,0.37037037037037035,mlp.down_proj,,71.73564910888672,2.1932132244110107,1069.8141875751146,62.39629017148851,0.3206242322921753
qwen25,model.layers.10.mlp.gate_proj.weight,10,0.37037037037037035,mlp.gate_proj,,83.93233489990234,5.491528034210205,233.59965641633812,55.66199509580458,0.3248223066329956
qwen25,model.layers.10.mlp.up_proj.weight,10,0.37037037037037035,mlp.up_proj,,75.67999267578125,3.1573846340179443,574.5226838605133,60.61507872163291,0.07517200708389282
qwen25,model.layers.10.self_attn.k_proj.weight,10,0.37037037037037035,self_attn.k_proj,,14.145736694335938,1.5221436023712158,86.36541944910333,59.19040939475901,0.38693004846572876
qwen25,model.layers.10.self_attn.o_proj.weight,10,0.37037037037037035,self_attn.o_proj,,28.904672622680664,1.9038769006729126,230.49333957071093,58.88527664519436,0.0873948261141777
qwen25,model.layers.10.self_attn.q_proj.weight,10,0.37037037037037035,self_attn.q_proj,,42.48829650878906,3.272608518600464,168.55844857396056,57.48870739060925,0.07580415159463882
qwen25,model.layers.10.self_attn.v_proj.weight,10,0.37037037037037035,self_attn.v_proj,,8.900445938110352,0.6681630611419678,177.44289258496522,61.76399438381152,0.0228712260723114
qwen25,model.layers.11.mlp.down_proj.weight,11,0.4074074074074074,mlp.down_proj,,75.267333984375,2.230147361755371,1139.0582785099402,62.5342279543343,0.1790749430656433
qwen25,model.layers.11.mlp.gate_proj.weight,11,0.4074074074074074,mlp.gate_proj,,83.26469421386719,4.906408309936523,288.00127369380334,57.462314970653814,0.2133852243423462
qwen25,model.layers.11.mlp.up_proj.weight,11,0.4074074074074074,mlp.up_proj,,77.78862762451172,3.237248659133911,577.4044143849735,60.46058429376947,0.0182407908141613
qwen25,model.layers.11.self_attn.k_proj.weight,11,0.4074074074074074,self_attn.k_proj,,13.869122505187988,1.5763052701950073,77.41360878482755,58.50358194414194,0.22519266605377197
qwen25,model.layers.11.self_attn.o_proj.weight,11,0.4074074074074074,self_attn.o_proj,,28.179611206054688,1.6286550760269165,299.3724002326,59.966938909536005,0.07713240385055542
qwen25,model.layers.11.self_attn.q_proj.weight,11,0.4074074074074074,self_attn.q_proj,,40.57268142700195,3.273533344268799,153.6150914948745,56.05732438496377,0.048893898725509644
qwen25,model.layers.11.self_attn.v_proj.weight,11,0.4074074074074074,self_attn.v_proj,,8.813495635986328,0.6751548051834106,170.40787536141767,61.776541940758584,0.013166278600692749
qwen25,model.layers.12.mlp.down_proj.weight,12,0.4444444444444444,mlp.down_proj,,77.02837371826172,2.3730828762054443,1053.5997199796761,62.3385368429858,0.19930735230445862
qwen25,model.layers.12.mlp.gate_proj.weight,12,0.4444444444444444,mlp.gate_proj,,84.62725830078125,5.03003454208374,283.0600684431962,56.84935057226525,0.1747930943965912
qwen25,model.layers.12.mlp.up_proj.weight,12,0.4444444444444444,mlp.up_proj,,79.48513793945312,3.5551135540008545,499.87902065474026,59.56312113499999,0.020663505420088768
qwen25,model.layers.12.self_attn.k_proj.weight,12,0.4444444444444444,self_attn.k_proj,,13.726298332214355,1.5133562088012695,82.2667881211945,58.66264148450038,0.26448267698287964
qwen25,model.layers.12.self_attn.o_proj.weight,12,0.4444444444444444,self_attn.o_proj,,27.74419403076172,1.6962310075759888,267.5310722643073,59.66963821875138,0.09311527013778687
qwen25,model.layers.12.self_attn.q_proj.weight,12,0.4444444444444444,self_attn.q_proj,,41.42520523071289,3.2451066970825195,162.9563828302574,57.03308589018303,0.051011405885219574
qwen25,model.layers.12.self_attn.v_proj.weight,12,0.4444444444444444,self_attn.v_proj,,8.501701354980469,0.6903537511825562,151.65904337257797,61.587156947892026,0.03385745733976364
