pair,key,layer_idx,rel_depth,sub_module,shape,numel,norm_llm,norm_delta,rel_diff
qwen25,model.layers.10.post_attention_layernorm.weight,10,0.37037037037037035,post_attention_layernorm,3584,3584,49.37974548339844,1.2556990385055542,0.025429435210996026
qwen25,model.layers.10.self_attn.k_proj.bias,10,0.37037037037037035,self_attn.k_proj.bias,512,512,16.832687377929688,1.0210684537887573,0.0606598596447255
qwen25,model.layers.10.self_attn.k_proj.weight,10,0.37037037037037035,self_attn.k_proj,512x3584,1835008,27.07599639892578,14.145736694335938,0.5224456557726961
qwen25,model.layers.10.self_attn.o_proj.weight,10,0.37037037037037035,self_attn.o_proj,3584x3584,12845056,57.00468444824219,28.904672622680664,0.507057848007647
qwen25,model.layers.10.self_attn.q_proj.bias,10,0.37037037037037035,self_attn.q_proj.bias,3584,3584,107.61357879638672,0.6956149339675903,0.0064640070681391245
qwen25,model.layers.10.self_attn.q_proj.weight,10,0.37037037037037035,self_attn.q_proj,3584x3584,12845056,63.446022033691406,42.48829650878906,0.6696762877620086
qwen25,model.layers.10.self_attn.v_proj.bias,10,0.37037037037037035,self_attn.v_proj.bias,512,512,2.317438840866089,0.09124858677387238,0.039374755080816
qwen25,model.layers.10.self_attn.v_proj.weight,10,0.37037037037037035,self_attn.v_proj,512x3584,1835008,22.328857421875,8.900445938110352,0.3986073165298112
qwen25,model.layers.11.input_layernorm.weight,11,0.4074074074074074,input_layernorm,3584,3584,47.12969970703125,0.8146613240242004,0.017285519090686284
qwen25,model.layers.11.mlp.down_proj.weight,11,0.4074074074074074,mlp.down_proj,3584x18944,67895296,133.16676330566406,75.267333984375,0.5652111091084363
qwen25,model.layers.11.mlp.gate_proj.weight,11,0.4074074074074074,mlp.gate_proj,18944x3584,67895296,137.9629364013672,83.26469421386719,0.6035294433834771
qwen25,model.layers.11.mlp.up_proj.weight,11,0.4074074074074074,mlp.up_proj,18944x3584,67895296,134.524169921875,77.78862762451172,0.5782501960033466
qwen25,model.layers.11.post_attention_layernorm.weight,11,0.4074074074074074,post_attention_layernorm,3584,3584,49.879119873046875,0.9854392409324646,0.01975654829998244
qwen25,model.layers.11.self_attn.k_proj.bias,11,0.4074074074074074,self_attn.k_proj.bias,512,512,14.667559623718262,1.2567805051803589,0.08568436314027827
qwen25,model.layers.11.self_attn.k_proj.weight,11,0.4074074074074074,self_attn.k_proj,512x3584,1835008,28.02546501159668,13.869122505187988,0.4948757317478612
qwen25,model.layers.11.self_attn.o_proj.weight,11,0.4074074074074074,self_attn.o_proj,3584x3584,12845056,55.2630500793457,28.179611206054688,0.5099177690264092
qwen25,model.layers.11.self_attn.q_proj.bias,11,0.4074074074074074,self_attn.q_proj.bias,3584,3584,114.61936950683594,0.730660080909729,0.006374664980740033
qwen25,model.layers.11.self_attn.q_proj.weight,11,0.4074074074074074,self_attn.q_proj,3584x3584,12845056,64.20941925048828,40.57268142700195,0.6318805231475975
qwen25,model.layers.11.self_attn.v_proj.bias,11,0.4074074074074074,self_attn.v_proj.bias,512,512,1.653372883796692,0.07284361869096756,0.04405758640706292
qwen25,model.layers.11.self_attn.v_proj.weight,11,0.4074074074074074,self_attn.v_proj,512x3584,1835008,19.79438018798828,8.813495635986328,0.44525241772079205
qwen25,model.layers.12.input_layernorm.weight,12,0.4444444444444444,input_layernorm,3584,3584,54.82129669189453,0.9024843573570251,0.016462294980528248
qwen25,model.layers.12.mlp.down_proj.weight,12,0.4444444444444444,mlp.down_proj,3584x18944,67895296,134.86900329589844,77.02837371826172,0.5711347443508857
qwen25,model.layers.12.mlp.gate_proj.weight,12,0.4444444444444444,mlp.gate_proj,18944x3584,67895296,135.5494384765625,84.62725830078125,0.6243276198847104
qwen25,model.layers.12.mlp.up_proj.weight,12,0.4444444444444444,mlp.up_proj,18944x3584,67895296,135.9744873046875,79.48513793945312,0.5845592030903948
qwen25,model.layers.12.post_attention_layernorm.weight,12,0.4444444444444444,post_attention_layernorm,3584,3584,49.13087463378906,1.009190559387207,0.02054086288732891
qwen25,model.layers.12.self_attn.k_proj.bias,12,0.4444444444444444,self_attn.k_proj.bias,512,512,25.71873664855957,1.455352783203125,0.0565872578847933
qwen25,model.layers.12.self_attn.k_proj.weight,12,0.4444444444444444,self_attn.k_proj,512x3584,1835008,26.824262619018555,13.726298332214355,0.5117120469318076
